Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
,,,,,,,,64,1760.4,15174.0,20573.100000000002,7887.6,785.7,1035.9,10521.0,15907.5,49656.6,12174.300000000001,20407.5,3409.2000000000003,7634.7,9292.5,2057.4,3456.0,4784.400000000001,533.7,322.2,15623.1,106743.6,3582.0,18544.5,549.0,117.9,2808.9,1958.4
,,,,,,,,65,1833.3,15318.9,21813.3,8026.2,800.1,1059.3,10742.4,16391.7,50567.4,12740.4,21367.8,3570.3,7789.5,9480.6,2098.8,3525.3,4916.7,549.0,331.2,16056.9,110231.1,3651.3,18903.600000000002,559.8000000000001,120.60000000000001,2850.3,1986.3
,,,,,,,,66,1956.6000000000001,15659.1,23580.9,8001.0,797.4,1109.7,11205.0,17181.9,51873.3,13738.5,22561.2,3769.2000000000003,8138.7,9903.6,2194.2000000000003,3683.7000000000003,5136.3,573.3000000000001,345.6,16772.4,110397.6,3722.4,19267.2,570.6,123.3,2920.5,2034.9
,,,,,,,,67,2071.8,16281.0,25208.100000000002,8241.300000000001,821.7,1176.3,11853.0,18174.600000000002,54097.200000000004,14678.1,23906.7,3994.2000000000003,8628.300000000001,10496.7,2325.6,3905.1,5405.400000000001,603.0,364.5,17652.600000000002,113526.0,3901.5,20199.600000000002,597.6,128.70000000000002,3055.5,2129.4
,,,,,,,,68,2025.0,16902.0,25578.9,8289.9,826.2,1152.0,11574.9,18689.4,56176.200000000004,14569.2,24376.5,4072.5,8605.800000000001,10467.9,2318.4,3894.3,5292.900000000001,590.4,356.40000000000003,17284.5,113192.1,3785.4,19595.7,579.6,125.10000000000001,3014.1,2100.6
,,,,,,,,69,1850.4,16736.4,24363.9,8009.1,797.4,1056.6000000000001,10613.7,17995.5,55804.5,13392.0,22874.4,3821.4,7965.900000000001,9690.300000000001,2147.4,3605.4,4857.3,541.8000000000001,326.7,15863.4,111256.2,3446.1,17838.9,528.3000000000001,113.4,2799.0,1951.2
,,,,,,,,70,1685.7,15760.800000000001,22725.9,7478.1,745.2,960.3000000000001,9628.2,16924.5,52777.8,12335.4,21254.4,3550.5,7342.2,8930.7,1978.2,3322.8,4463.1,498.6,300.6,14575.5,105845.40000000001,3088.8,15986.7,473.40000000000003,101.7,2572.2000000000003,1792.8
,,,,,,,,71,1543.5,14707.800000000001,20640.600000000002,6880.5,685.8000000000001,881.1,8821.800000000001,16002.0,49640.4,11435.4,19434.600000000002,3246.3,6786.0,8256.6,1829.7,3071.7000000000003,4153.5,463.5,279.90000000000003,13564.800000000001,97347.6,2794.5,14463.9,428.40000000000003,91.8,2400.3,1673.1000000000001
,,,,,,,,72,1408.5,13728.6,18333.9,6350.400000000001,632.7,809.1,8109.0,14704.2,46147.5,10535.4,17640.0,2946.6,6289.2,7652.7,1694.7,2846.7000000000003,3891.6,433.8,261.90000000000003,12709.800000000001,87243.3,2538.0,13135.5,388.8,83.7,2261.7000000000003,1575.9
,,,,,,,,73,1296.9,12775.5,16310.7,6042.6,602.1,747.0,7498.8,13525.2,42817.5,9770.4,16068.6,2684.7000000000003,5779.8,7035.3,1557.9,2615.4,3641.4,406.8,244.8,11890.800000000001,78152.40000000001,2300.4,11907.9,352.8,75.60000000000001,2137.5,1490.4
,,,,,,,,74,1213.2,12073.5,15092.1,5697.0,567.0,702.9,7077.6,12702.6,40263.3,9212.4,15116.4,2525.4,5472.0,6663.6,1474.2,2476.8,3496.5,389.7,235.8,11419.2,71392.5,2147.4,11117.7,328.5,71.10000000000001,2062.8,1437.3
,,,,,,,,75,1175.4,11614.5,14404.5,5482.8,547.2,684.9,6909.3,12194.1,38519.1,8968.5,14537.7,2428.2000000000003,5357.7,6523.2,1443.6000000000001,2424.6,3449.7000000000003,385.2,232.20000000000002,11265.300000000001,66591.0,2081.7000000000003,10773.9,319.5,68.4,2037.6000000000001,1420.2
,,,,,,,,76,1190.7,11424.6,14042.7,5424.3,540.9,703.8000000000001,7128.0,11974.5,37576.8,9141.300000000001,14361.300000000001,2399.4,5450.400000000001,6638.400000000001,1468.8,2466.9,3585.6,400.5,241.20000000000002,11709.9,63770.4,2124.9,10998.0,325.8,70.2,2115.0,1474.2
,,,,,,,,77,1279.8,11742.300000000001,14349.6,5676.3,566.1,765.9,7791.3,12267.0,38016.9,9810.0,14870.7,2484.9,5890.5,7175.7,1587.6000000000001,2666.7000000000003,3901.5,435.6,262.8,12741.300000000001,62798.4,2313.9,11983.5,354.6,76.5,2306.7000000000003,1607.4
